prompt,category,subcategory,style,noise,params,top_category
Was it tagged 'escalated'?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""escalated""}",SYMBOLIC_METADATA
Watch for reply times over 15 min.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 15, ""unit"": ""min""}",SYMBOLIC_TIME
verify ticket has 'technical' status,SYMBOLIC_METADATA,meta_tag,instruction,heavy,"{""subtype"": ""tag"", ""value"": ""technical""}",SYMBOLIC_METADATA
Was the wait time within acceptable limits??,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 28, ""unit"": ""minutes""}",SYMBOLIC_TIME
"For email tickets where the first response time exceeded 6 hours, assess whether the agent’s guidance on returning the product felt helpful and reassuring.",HYBRID,llm_generated,instruction,light,,HYBRID
Did the agent write more than 17 responses?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 17}",SYMBOLIC_COUNT
"Detect whether agent handled the breach notification resolution in a way that acknowledged the customer’s reaction, clarified what happened in plain language, and took clear ownership for the remediation steps and follow-up, especially when the customer pushed back or asked for guarantees.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
note excessive back-and-forth.,SYMBOLIC_COUNT,count_implicit,instruction,medium,"{""threshold"": 13}",SYMBOLIC_COUNT
Estimate the probability that this customer will request a callback within next billing cycle.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
What is the customer's refund pattern in the app?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"For return requests resolved within 15 minutes, assess whether the agent accurately grasped the customer’s core issue and reason for return.",HYBRID,llm_generated,instruction,medium,,HYBRID
Is this interaction likely to lead to a billing within week?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
detect whether agent showed patience when escalation was requested mid-outage.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
Detect whether the agent’s replies felt engaged and not robotic during the escalation,SEMANTIC_TONE,llm_generated,instruction,medium,,SEMANTIC
"If the customer still seemed worried post-resolution, did the agent reassure, provide ownership, and then properly finish the interaction?",SEMANTIC_CLOSING,llm_generated,question,light,,SEMANTIC
Track if the turnaround time surpassed 60 min.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 60, ""unit"": ""min""}",SYMBOLIC_TIME
Measure whether the 3 seconds aLA was breached.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 3, ""unit"": ""seconds""}",SYMBOLIC_TIME
"If the total wait time exceeded 15 minutes, evaluate whether the agent apologized in a sincere, emotionally aware way.",HYBRID,llm_generated,instruction,none,,HYBRID
"Determine whether the agent addressed why the customer wants to cancel, before pitching alternatives.",SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Detect whether agent incorrectly interpreted customer’s issue as “late arrival” vs “departure delay.”,SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
Measure if the total messages crossed 14.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 14}",SYMBOLIC_COUNT
Highlight unnecessarily lengthy exchanges.,SYMBOLIC_COUNT,count_implicit,instruction,light,"{""threshold"": 12}",SYMBOLIC_COUNT
Is the 'legal' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""legal""}",SYMBOLIC_METADATA
"Check whether agent accurately reflected the customer’s request in their own words, then resolved it (lost password).",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
did the agent's reply come through within the 27 hours cutoff?,SYMBOLIC_TIME,time_moderate,question,heavy,"{""threshold"": 27, ""unit"": ""hours""}",SYMBOLIC_TIME
Did the customer rate this interaction positively after quarter?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"Assess whether the agent’s first response shows ownership—acknowledges the customer and apologizes for the billing error in an absolute, unambiguous way.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
"Did the agent begin by acknowledging the customer and stating their role, instead of jumping to closing steps and alternative options? Absolute pass/fail",SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
"Detect whether the agent’s conditional responses (e.g., “If X, then Y”) were personalized to the customer’s refund situation during initial troubleshooting, and whether that helped the customer feel heard rather than brushed off.",SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Assess handling appropriateness for 'sensitive' cases.,HYBRID,hybrid,instruction,none,,HYBRID
"Did agent ask relevant questions to narrow down refund reason, not generic stuff?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Did the agent acknowledge frustration and restate the problem before transferring?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Is the 'bug' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""bug""}",SYMBOLIC_METADATA
Did the agent keep repeating 'try again later' with no action?,SEMANTIC_SOLUTION,llm_generated,question,medium,,SEMANTIC
Did the agent acknowledge frustration about outage during escalation request?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
check if tagged as 'onboarding'.,SYMBOLIC_METADATA,meta_tag,instruction,heavy,"{""subtype"": ""tag"", ""value"": ""onboarding""}",SYMBOLIC_METADATA
Is thud an 'complaint' case?,SYMBOLIC_METADATA,meta_tag,question,heavy,"{""subtype"": ""tag"", ""value"": ""complaint""}",SYMBOLIC_METADATA
Was the wait time wirhin accrptable kimits,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 23, ""unit"": ""hrs""}",SYMBOLIC_TIME
Did agent ask clarifying questions about delay length/flight number when needed?,SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
Did this agent’s escalation rate exceed the contact center average?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
"Across the last 5 tickets, what is the billing trend?",UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"Did agent set a proper start: who they are, why they’re here, and acknowledge the cancellation request?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"For interactions with response time under 3 minutes, check whether the agent still used emotionally supportive language about the delayed shipping.",HYBRID,llm_generated,instruction,none,,HYBRID
Did the conversation drag on unnecessarily?,SYMBOLIC_COUNT,count_implicit,question,none,"{""threshold"": 18}",SYMBOLIC_COUNT
Identify if source was web form.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""web form""}",SYMBOLIC_METADATA
Did the agent need more than 8 attempts to address this?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 8}",SYMBOLIC_COUNT
Did agent mention their name/role and acknowledge outage before discussing escalation options?,SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
Did the customer experience a long wait...,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 3, ""unit"": ""min""}",SYMBOLIC_TIME
Predict cancel likelihood based on this escalation interaction.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"For conversations exceeding 3 turns, was quality maintained throughout?",HYBRID,hybrid,question,none,,HYBRID
"Determine if, once the solution was delivered, the agent prompted the customer to reach out again if issues persist.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Determine whether the agent properly concluded the follow-up after explaining the next steps for the product defect.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Was the channel web form...,SYMBOLIC_METADATA,meta_channel,question,light,"{""subtype"": ""channel"", ""value"": ""web form""}",SYMBOLIC_METADATA
Note excessive back-and-forth.,SYMBOLIC_COUNT,count_implicit,instruction,none,"{""threshold"": 13}",SYMBOLIC_COUNT
"Across the last 5 tickets, what is the refund trend?",UNSUPPORTED,unsupported,question,heavy,,UNSUPPORTED
"In closing, check agent didn’t get wires crossed: customer asked to cancel, agent should respond to that first, then offer options (pause, downgrade). If agent went off on renewal dates or billing fixes only, flag it.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"If the delay kept changing, did the agent adapt guidance accordingly, instead of repeating same canned message?",SEMANTIC_SOLUTION,llm_generated,question,medium,,SEMANTIC
Did agent avoid canned macros and provide tailored info for shipment delay?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Detect whether the agent aligned on the issue (shipping delay) before offering solutions.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"Did agent correctly identify customer’s intent for refund, and in their first troubleshooting reply, tailor it to the customer’s product/version and reason without switching the issue to something else??",SEMANTIC_COMPREHENSION,llm_generated,question,heavy,,SEMANTIC
"Verify agent’s start: they should identify themselves, acknowledge customer’s lockout, and confirm understanding of the escalation ask; if any part missing, mark fail.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
Did the rep make it super clear cancellation went through before saying goodbye?,SEMANTIC_SOLUTION,llm_generated,question,medium,,SEMANTIC
Was response speed acceptable?,SYMBOLIC_TIME,time_implicit,question,none,"{""threshold"": 300, ""unit"": ""minutes""}",SYMBOLIC_TIME
"Check whether agent starts with empathy about flight delay, then moves to questions.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
"If resolution time was longer than 2 days, evaluate whether the agent correctly understood what the customer had already tried regarding the upgrade.",HYBRID,llm_generated,instruction,light,,HYBRID
Confirm whether the hotel charged a no-show fee after this case.,UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
"If the interaction occurred on chat, did the agent clearly explain the billing dispute resolution steps?",HYBRID,llm_generated,question,none,,HYBRID
"Did agent start off patient and acknowledge customer, plus say who they are?",SEMANTIC_GREETING,llm_generated,question,medium,,SEMANTIC
"If customer sounded angry, did agent respond in a way that showed they were heard?",SEMANTIC_EMPATHY,llm_generated,question,medium,,SEMANTIC
Did the agent’s first line make customer feel heard about the shipping delay?,SEMANTIC_EMPATHY,llm_generated,question,light,,SEMANTIC
Did the traveler’s loyalty points balance change due to this complaint?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
Validate that the conversation stayed under 9 turns.,SYMBOLIC_COUNT,count_explicit,instruction,medium,"{""threshold"": 9}",SYMBOLIC_COUNT
Detect lengthy interactions over 13 exchanges.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 13}",SYMBOLIC_COUNT
Pull the customer's account balance from the app before evaluating.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"Did the rep ask for details needed to move forward (dates, airports) and then give tailored next steps? kinda felt like looping.",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Was agent’s greeting tailored to shipping delay situation at all?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
How often does this customer request a callback?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Flag tickets marked 'urgent'.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""urgent""}",SYMBOLIC_METADATA
Did the agent show patience immediately and acknowledge the outage before addressing the escalation request,SEMANTIC_GREETING,llm_generated,instruction,heavy,,SEMANTIC
Identify internal documentation.,SYMBOLIC_METADATA,meta_notes,instruction,none,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
"If internal notes mention maintenance as the cause, assess whether the agent’s closing communicates transparency and offers an update option.",HYBRID,llm_generated,instruction,none,,HYBRID
Predict upgrade likelihood based on this support ticket interaction.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Verify the agent doesn’t ignore the customer’s complaint tone; confirm they acknowledge it and then walk through next steps.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Did the agent identify themselves and confirm understanding of the refund request right away??,SEMANTIC_GREETING,llm_generated,question,medium,,SEMANTIC
Did this case meet the monthly first-contact resolution benchmark?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
"When the wait time was under 2 minutes but the customer said the delay ruined an event, judge whether the agent treated the impact as meaningful and showed compassion.",HYBRID,llm_generated,instruction,none,,HYBRID
Assess whether the first reply confirms the refund request and signals ownership (name/role) before steps.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Report whether 6 exchanges were exceeded.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 6}",SYMBOLIC_COUNT
Confirm the agent avoided canned policy blurbs and addressed the exact scenario.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
"Verify agent ended appropriately, not leaving customer waiting for response.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Identify 'retention' cases.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""retention""}",SYMBOLIC_METADATA
Evaluate based on the customer's past usage interactions across 2 tickets.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Did agent respond to frustration w/ empathy before pushing steps?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
